lambda,tau,No-Change_Feasible_%,No-Change_Undercoverage,No-Change_Undercoverage_std,Low-Fatigue_Feasible_%,Low-Fatigue_Undercoverage,Low-Fatigue_Undercoverage_std,Unrestricted_Undercoverage,Unrestricted_Undercoverage_std,Unrestricted_SC,Unrestricted_SC_std,P_end,P_end_std,B_end,B_end_std,L_tail_k7,L_tail_k7_std
0.1,0.5,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,268.32,132.6073059827399,0.9546159999999999,0.0361436653370961,0.0,0.0,0.0,0.0
0.1,0.6,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,268.32,132.6073059827399,0.9546159999999999,0.0361436653370961,0.0,0.0,0.0,0.0
0.1,0.7,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,268.32,132.6073059827399,0.9546159999999999,0.0361436653370961,0.0,0.0,0.0,0.0
0.1,0.7999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,268.32,132.6073059827399,0.9546159999999999,0.0361436653370961,0.0,0.0,0.0,0.0
0.1,0.8999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,268.32,132.6073059827399,0.9546159999999999,0.0361436653370961,0.1824,0.2903415919223424,0.08,0.2712931993250107
0.1,0.9999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,268.32,132.6073059827399,0.9546159999999999,0.0361436653370961,0.5124,0.3017188094898957,6.36,0.9748846085563152
0.1,1.0999999999999999,100.0,0.0,0.0,0.0,226.88,10.966567375437037,0.0,0.0,268.32,132.6073059827399,0.9546159999999999,0.0361436653370961,1.0,0.0,7.0,0.0
0.2,0.5,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,210.56,59.98338436600589,0.9747520000000001,0.011692360582876328,0.0,0.0,0.0,0.0
0.2,0.6,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,210.56,59.98338436600589,0.9747520000000001,0.011692360582876328,0.0,0.0,0.0,0.0
0.2,0.7,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,210.56,59.98338436600589,0.9747520000000001,0.011692360582876328,0.0,0.0,0.0,0.0
0.2,0.7999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,210.56,59.98338436600589,0.9747520000000001,0.011692360582876328,0.0,0.0,0.0,0.0
0.2,0.8999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,210.56,59.98338436600589,0.9747520000000001,0.011692360582876328,0.045200000000000004,0.09600499986979845,0.0,0.0
0.2,0.9999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,210.56,59.98338436600589,0.9747520000000001,0.011692360582876328,0.37560000000000004,0.14808321984613923,5.88,1.107068200247844
0.2,1.0999999999999999,100.0,0.0,0.0,0.0,451.24,21.45372694894759,0.0,0.0,210.56,59.98338436600589,0.9747520000000001,0.011692360582876328,1.0,0.0,7.0,0.0
0.30000000000000004,0.5,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,209.2,45.28752587633817,0.9751599999999999,0.01050394211712915,0.0,0.0,0.0,0.0
0.30000000000000004,0.6,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,209.2,45.28752587633817,0.9751599999999999,0.01050394211712915,0.0,0.0,0.0,0.0
0.30000000000000004,0.7,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,209.2,45.28752587633817,0.9751599999999999,0.01050394211712915,0.0,0.0,0.0,0.0
0.30000000000000004,0.7999999999999999,100.0,0.0,0.0,96.0,0.0168,0.08230285535751478,0.0,0.0,209.2,45.28752587633817,0.9751599999999999,0.01050394211712915,0.0032,0.01567673435381234,0.0,0.0
0.30000000000000004,0.8999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,209.2,45.28752587633817,0.9751599999999999,0.01050394211712915,0.0408,0.06638795071396617,0.0,0.0
0.30000000000000004,0.9999999999999999,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,209.2,45.28752587633817,0.9751599999999999,0.01050394211712915,0.35840000000000005,0.12817737709908095,6.72,0.6013318551349164
0.30000000000000004,1.0999999999999999,100.0,0.0,0.0,0.0,681.32,32.19654639864344,0.0,0.0,209.2,45.28752587633817,0.9751599999999999,0.01050394211712915,1.0,0.0,7.0,0.0
0.4,0.5,44.0,4.36,5.3879866369544755,60.0,0.1168,0.18724785713059575,0.1384,0.20301093566603748,292.12,49.29123248611258,0.954832,0.01755901409533006,0.0,0.0,0.0,0.0
0.4,0.6,44.0,4.36,5.3879866369544755,60.0,0.1136,0.17597454361355794,0.1384,0.20301093566603748,292.12,49.29123248611258,0.954832,0.01755901409533006,0.0016,0.00783836717690617,0.0,0.0
0.4,0.7,44.0,4.36,5.3879866369544755,64.0,0.0864,0.1622560938763164,0.1384,0.20301093566603748,292.12,49.29123248611258,0.954832,0.01755901409533006,0.0032,0.010851727973000429,0.0,0.0
0.4,0.7999999999999999,44.0,4.36,5.3879866369544755,92.0,0.0104,0.037997894678521334,0.1384,0.20301093566603748,292.12,49.29123248611258,0.954832,0.01755901409533006,0.025200000000000004,0.04631371287210733,0.0,0.0
0.4,0.8999999999999999,44.0,4.36,5.3879866369544755,76.0,0.037599999999999995,0.08339208595544302,0.1384,0.20301093566603748,292.12,49.29123248611258,0.954832,0.01755901409533006,0.17479999999999996,0.1172389013936927,0.0,0.0
0.4,0.9999999999999999,44.0,4.36,5.3879866369544755,44.0,4.36,5.3879866369544755,0.1384,0.20301093566603748,292.12,49.29123248611258,0.954832,0.01755901409533006,0.46880000000000005,0.14154349154941742,7.0,0.0
0.4,1.0999999999999999,44.0,4.36,5.3879866369544755,0.0,904.08,43.83416019498948,0.1384,0.20301093566603748,292.12,49.29123248611258,0.954832,0.01755901409533006,1.0,0.0,7.0,0.0
0.5,0.5,0.0,60.76,25.60668662673873,12.0,2.142608695652174,2.783618566747567,1.6973913043478264,2.242407901053462,393.3478260869565,51.38736834776505,0.9313913043478261,0.019330487590140853,0.0,0.0,0.0,0.0
0.5,0.6,0.0,60.76,25.60668662673873,8.0,2.3356521739130436,2.756039732923275,1.6973913043478264,2.242407901053462,393.3478260869565,51.38736834776505,0.9313913043478261,0.019330487590140853,0.0,0.0,0.0,0.0
0.5,0.7,0.0,60.76,25.60668662673873,4.0,1.9257142857142857,2.3690395309744683,1.6973913043478264,2.242407901053462,393.3478260869565,51.38736834776505,0.9313913043478261,0.019330487590140853,0.0034782608695652175,0.01631448959938584,0.0,0.0
0.5,0.7999999999999999,0.0,60.76,25.60668662673873,4.0,1.8381818181818184,2.272490896798722,1.6973913043478264,2.242407901053462,393.3478260869565,51.38736834776505,0.9313913043478261,0.019330487590140853,0.04521739130434783,0.05420328605612084,0.0,0.0
0.5,0.8999999999999999,0.0,60.76,25.60668662673873,4.0,2.216,2.3949079314245045,1.6973913043478264,2.242407901053462,393.3478260869565,51.38736834776505,0.9313913043478261,0.019330487590140853,0.3243478260869565,0.13742432184444112,0.08695652173913043,0.2817713347133852
0.5,0.9999999999999999,0.0,60.76,25.60668662673873,0.0,60.76,25.60668662673873,1.6973913043478264,2.242407901053462,393.3478260869565,51.38736834776505,0.9313913043478261,0.019330487590140853,0.6239130434782609,0.1472867398746783,7.0,0.0
0.5,1.0999999999999999,0.0,60.76,25.60668662673873,0.0,1130.76,54.013539043465755,1.6973913043478264,2.242407901053462,393.3478260869565,51.38736834776505,0.9313913043478261,0.019330487590140853,1.0,0.0,7.0,0.0
0.6,0.5,0.0,180.64,41.09294830016459,0.0,43.87466666666667,18.902872397836497,42.88428571428572,19.18091488741784,347.5,59.899618410422995,0.9281285714285714,0.023705889219210283,0.0,0.0,0.0,0.0
0.6,0.6,0.0,180.64,41.09294830016459,0.0,43.071999999999996,19.57016068746839,42.88428571428572,19.18091488741784,347.5,59.899618410422995,0.9281285714285714,0.023705889219210283,0.0,0.0,0.0,0.0
0.6,0.7,0.0,180.64,41.09294830016459,0.0,40.31428571428571,19.68466470351466,42.88428571428572,19.18091488741784,347.5,59.899618410422995,0.9281285714285714,0.023705889219210283,0.002857142857142857,0.007953949089757174,0.0,0.0
0.6,0.7999999999999999,0.0,180.64,41.09294830016459,0.0,42.33285714285715,19.5225563418946,42.88428571428572,19.18091488741784,347.5,59.899618410422995,0.9281285714285714,0.023705889219210283,0.030000000000000002,0.053718844791323335,0.0,0.0
0.6,0.8999999999999999,0.0,180.64,41.09294830016459,0.0,47.21142857142858,25.856160044463252,42.88428571428572,19.18091488741784,347.5,59.899618410422995,0.9281285714285714,0.023705889219210283,0.36214285714285716,0.12989988295543894,0.21428571428571427,0.7726181304565691
0.6,0.9999999999999999,0.0,180.64,41.09294830016459,0.0,180.64,41.09294830016459,42.88428571428572,19.18091488741784,347.5,59.899618410422995,0.9281285714285714,0.023705889219210283,0.6842857142857143,0.14855082274688183,7.0,0.0
0.6,1.0999999999999999,0.0,180.64,41.09294830016459,0.0,1356.52,64.03194202895926,42.88428571428572,19.18091488741784,347.5,59.899618410422995,0.9281285714285714,0.023705889219210283,1.0,0.0,7.0,0.0
0.7000000000000001,0.5,0.0,348.52,54.560879758303024,0.0,171.9224,48.38496669669206,171.94799999999998,48.3185973306345,332.56,44.4252900947197,0.948448,0.016883722812223605,0.0,0.0,0.0,0.0
0.7000000000000001,0.6,0.0,348.52,54.560879758303024,0.0,171.72240000000002,48.27476535665398,171.94799999999998,48.3185973306345,332.56,44.4252900947197,0.948448,0.016883722812223605,0.0,0.0,0.0,0.0
0.7000000000000001,0.7,0.0,348.52,54.560879758303024,0.0,171.91279999999998,48.47023330003683,171.94799999999998,48.3185973306345,332.56,44.4252900947197,0.948448,0.016883722812223605,0.0,0.0,0.0,0.0
0.7000000000000001,0.7999999999999999,0.0,348.52,54.560879758303024,0.0,171.87200000000004,48.51656442906897,171.94799999999998,48.3185973306345,332.56,44.4252900947197,0.948448,0.016883722812223605,0.0116,0.028938555596297474,0.0,0.0
0.7000000000000001,0.8999999999999999,0.0,348.52,54.560879758303024,0.0,188.6272,52.14521842086769,171.94799999999998,48.3185973306345,332.56,44.4252900947197,0.948448,0.016883722812223605,0.22719999999999999,0.11094214708576718,0.0,0.0
0.7000000000000001,0.9999999999999999,0.0,348.52,54.560879758303024,0.0,348.52,54.560879758303024,171.94799999999998,48.3185973306345,332.56,44.4252900947197,0.948448,0.016883722812223605,0.5640000000000001,0.12983065893693985,7.0,0.0
0.7000000000000001,1.0999999999999999,0.0,348.52,54.560879758303024,0.0,1585.84,75.07152855776948,171.94799999999998,48.3185973306345,332.56,44.4252900947197,0.948448,0.016883722812223605,1.0,0.0,7.0,0.0
0.8,0.5,0.0,540.44,64.67647485755543,0.0,374.9064,62.654449858250295,374.40319999999997,62.98212106431476,313.6,49.18048393417861,0.952168,0.016900431237101627,0.0,0.0,0.0,0.0
0.8,0.6,0.0,540.44,64.67647485755543,0.0,374.52160000000003,61.89156864581799,374.40319999999997,62.98212106431476,313.6,49.18048393417861,0.952168,0.016900431237101627,0.0,0.0,0.0,0.0
0.8,0.7,0.0,540.44,64.67647485755543,0.0,374.50479999999993,62.91672395285692,374.40319999999997,62.98212106431476,313.6,49.18048393417861,0.952168,0.016900431237101627,0.0,0.0,0.0,0.0
0.8,0.7999999999999999,0.0,540.44,64.67647485755543,0.0,374.3992,61.970850045485086,374.40319999999997,62.98212106431476,313.6,49.18048393417861,0.952168,0.016900431237101627,0.008,0.022449944320643647,0.0,0.0
0.8,0.8999999999999999,0.0,540.44,64.67647485755543,0.0,388.56559999999996,63.38957025126452,374.40319999999997,62.98212106431476,313.6,49.18048393417861,0.952168,0.016900431237101627,0.1944,0.09928061240745847,0.0,0.0
0.8,0.9999999999999999,0.0,540.44,64.67647485755543,0.0,540.44,64.67647485755543,374.40319999999997,62.98212106431476,313.6,49.18048393417861,0.952168,0.016900431237101627,0.5448,0.1447237368229552,7.0,0.0
0.8,1.0999999999999999,0.0,540.44,64.67647485755543,0.0,1809.36,86.48647524324251,374.40319999999997,62.98212106431476,313.6,49.18048393417861,0.952168,0.016900431237101627,1.0,0.0,7.0,0.0
0.9,0.5,0.0,757.8,73.01725823392714,0.0,604.2952,69.67204874955236,604.2272,69.61748743067362,280.32,50.52581122555085,0.961048,0.016868363761787922,0.0,0.0,0.0,0.0
0.9,0.6,0.0,757.8,73.01725823392714,0.0,604.7664,70.34669975940591,604.2272,69.61748743067362,280.32,50.52581122555085,0.961048,0.016868363761787922,0.0,0.0,0.0,0.0
0.9,0.7,0.0,757.8,73.01725823392714,0.0,605.5192,69.15236128549769,604.2272,69.61748743067362,280.32,50.52581122555085,0.961048,0.016868363761787922,0.0,0.0,0.0,0.0
0.9,0.7999999999999999,0.0,757.8,73.01725823392714,0.0,605.9592,70.12322239714885,604.2272,69.61748743067362,280.32,50.52581122555085,0.961048,0.016868363761787922,0.0036,0.01292439553712281,0.0,0.0
0.9,0.8999999999999999,0.0,757.8,73.01725823392714,0.0,614.6912,69.71938934442842,604.2272,69.61748743067362,280.32,50.52581122555085,0.961048,0.016868363761787922,0.1328,0.10282100952626365,0.0,0.0
0.9,0.9999999999999999,0.0,757.8,73.01725823392714,0.0,757.8,73.01725823392714,604.2272,69.61748743067362,280.32,50.52581122555085,0.961048,0.016868363761787922,0.486,0.17529403868928342,7.0,0.0
0.9,1.0999999999999999,0.0,757.8,73.01725823392714,0.0,2033.84,96.92210480586975,604.2272,69.61748743067362,280.32,50.52581122555085,0.961048,0.016868363761787922,1.0,0.0,7.0,0.0
1.0,0.5,0.0,989.08,79.34729737048389,0.0,855.9136,73.7292922456197,856.0600000000002,73.9799590159389,226.8,49.75700955644341,0.970768,0.014231534562372389,0.0,0.0,0.0,0.0
1.0,0.6,0.0,989.08,79.34729737048389,0.0,856.5175999999999,74.19968998749252,856.0600000000002,73.9799590159389,226.8,49.75700955644341,0.970768,0.014231534562372389,0.0,0.0,0.0,0.0
1.0,0.7,0.0,989.08,79.34729737048389,0.0,855.9400000000002,75.03013474598055,856.0600000000002,73.9799590159389,226.8,49.75700955644341,0.970768,0.014231534562372389,0.0,0.0,0.0,0.0
1.0,0.7999999999999999,0.0,989.08,79.34729737048389,0.0,854.8808,76.07618696648773,856.0600000000002,73.9799590159389,226.8,49.75700955644341,0.970768,0.014231534562372389,0.0012,0.005878775382679628,0.0,0.0
1.0,0.8999999999999999,0.0,989.08,79.34729737048389,0.0,859.3424,76.75471629965159,856.0600000000002,73.9799590159389,226.8,49.75700955644341,0.970768,0.014231534562372389,0.0668,0.06649631568741234,0.0,0.0
1.0,0.9999999999999999,0.0,989.08,79.34729737048389,0.0,989.08,79.34729737048389,856.0600000000002,73.9799590159389,226.8,49.75700955644341,0.970768,0.014231534562372389,0.41239999999999993,0.18300338794678092,7.0,0.0
1.0,1.0999999999999999,0.0,989.08,79.34729737048389,0.0,2260.6,107.79795916435523,856.0600000000002,73.9799590159389,226.8,49.75700955644341,0.970768,0.014231534562372389,1.0,0.0,7.0,0.0
1.1,0.5,0.0,1234.4,84.3136999543965,0.0,1117.4008,82.8073394776091,1116.2703999999999,81.90342236952006,183.04,56.81160444838713,0.978952,0.011830709868811776,0.0,0.0,0.0,0.0
1.1,0.6,0.0,1234.4,84.3136999543965,0.0,1116.4152,82.24741450623235,1116.2703999999999,81.90342236952006,183.04,56.81160444838713,0.978952,0.011830709868811776,0.0,0.0,0.0,0.0
